randomtestcard1.c:
Testing Smithy...
Seed: 1551431635, test failed.
Seed: 987060343, test failed.
Seed: 831989489, test failed.
Seed: 579577417, test failed.
Seed: 1258404403, test failed.
Seed: 249603140, test failed.
Seed: 1688049372, test failed.
Seed: 2139212068, test failed.
Seed: 421300553, test failed.
Seed: 339762287, test failed.
Seed: 100595714, test failed.
Seed: 1637493031, test failed.
Seed: 1647658986, test failed.
Seed: 1623775744, test failed.
Seed: 280819126, test failed.
Seed: 2056812098, test failed.
Seed: 2006735918, test failed.
Seed: 1640238469, test failed.
Seed: 394954606, test failed.
Seed: 553888950, test failed.
Seed: 321325047, test failed.
Seed: 1421107423, test failed.
Seed: 1049122868, test failed.
Seed: 574065219, test failed.
Seed: 643068044, test failed.
Seed: 260971442, test failed.
Seed: 95871499, test failed.
Seed: 178430473, test failed.
Seed: 1221237434, test failed.
Seed: 1734474983, test failed.
Seed: 1312459406, test failed.
Seed: 1186823675, test failed.
Seed: 392708578, test failed.
Seed: 1862953436, test failed.
Seed: 751910735, test failed.
Seed: 293538546, test failed.
Seed: 1072850829, test failed.
Seed: 935126553, test failed.
Seed: 979998165, test failed.
Seed: 1444913470, test failed.
Seed: 275535632, test failed.
Seed: 219246320, test failed.
Seed: 1456865738, test failed.
Seed: 2114937616, test failed.
Seed: 52399362, test failed.
Seed: 2032676085, test failed.
Seed: 1198248737, test failed.
Seed: 389086798, test failed.
Seed: 1751594609, test failed.
Seed: 231136853, test failed.
Seed: 373915325, test failed.
Seed: 1429257479, test failed.
Seed: 91837721, test failed.
Seed: 1421256203, test failed.
Seed: 1726092157, test failed.
Seed: 547418449, test failed.
Seed: 277087290, test failed.
Seed: 225551272, test failed.
Seed: 1164341563, test failed.
Seed: 117088904, test failed.
Seed: 1894934193, test failed.
Seed: 434116046, test failed.
Seed: 1074297454, test failed.
Seed: 389172950, test failed.
Seed: 927759431, test failed.
Seed: 1034430112, test failed.
Seed: 1144985203, test failed.
Seed: 600957262, test failed.
Seed: 533104327, test failed.
Seed: 161175163, test failed.
Seed: 593415842, test failed.
Seed: 2113340626, test failed.
Seed: 1475258382, test failed.
Seed: 456972512, test failed.
Seed: 384413492, test failed.
Seed: 1708857222, test failed.
Seed: 576342759, test failed.
Seed: 1077563319, test failed.
Seed: 818692465, test failed.
Seed: 181564981, test failed.
Seed: 2087046073, test failed.
Seed: 900643004, test failed.
Seed: 1532199036, test failed.
Seed: 173886905, test failed.
