randomtestadventurer.c:
Testing Adventurer...
Seed: 1095620534, test failed, incorrect number of cards in hand.
Seed: 1984990456, test failed, incorrect number of cards in hand.
Seed: 1415804572, test failed, incorrect number of cards in hand.
Seed: 411587659, test failed, incorrect number of cards in hand.
Seed: 2015561153, test failed, incorrect number of cards in hand.
Seed: 1648771465, test failed, incorrect number of cards in hand.
Seed: 1403833500, test failed, incorrect number of cards in hand.
Seed: 87469783, test failed, incorrect number of cards in hand.
Seed: 1066036980, test failed, incorrect number of cards in hand.
Seed: 1228733809, test failed, incorrect number of cards in hand.
Seed: 952384861, test failed, incorrect number of cards in hand.
Seed: 472273745, test failed, incorrect number of cards in hand.
Seed: 1753349072, test failed, incorrect number of cards in hand.
Seed: 871637310, test failed, incorrect number of cards in hand.
Seed: 575309654, test failed, incorrect number of cards in hand.
Seed: 1075247003, test failed, incorrect number of cards in hand.
Seed: 258368745, test failed, incorrect number of cards in hand.
Seed: 186015636, test failed, incorrect number of cards in hand.
Seed: 1722175442, test failed, incorrect number of cards in hand.
Seed: 1440685327, test failed, incorrect number of cards in hand.
Seed: 1745612915, test failed, incorrect number of cards in hand.
Seed: 1612382175, test failed, incorrect number of cards in hand.
Seed: 1626969354, test failed, incorrect number of cards in hand.
Seed: 1590381713, test failed, incorrect number of cards in hand.
Seed: 1885106816, test failed, incorrect number of cards in hand.
Seed: 1317450377, test failed, incorrect number of cards in hand.
Seed: 393118199, test failed, incorrect number of cards in hand.
Seed: 719333058, test failed, incorrect number of cards in hand.
Seed: 1138751024, test failed, incorrect number of cards in hand.
Seed: 721288016, test failed, incorrect number of cards in hand.
Seed: 1802147451, test failed, incorrect number of cards in hand.
Seed: 1563675690, test failed, incorrect number of cards in hand.
Seed: 563284490, test failed, incorrect number of cards in hand.
Seed: 2069067776, test failed, incorrect number of cards in hand.
Seed: 524044091, test failed, incorrect number of cards in hand.
Seed: 424018482, test failed, incorrect number of cards in hand.
Seed: 1880992951, test failed, incorrect number of cards in hand.
Seed: 296485280, test failed, incorrect number of cards in hand.
Seed: 1153970270, test failed, incorrect number of cards in hand.
Seed: 1357001846, test failed, incorrect number of cards in hand.
Seed: 1863233102, test failed, incorrect number of cards in hand.
Seed: 503698583, test failed, incorrect number of cards in hand.
Seed: 1916271665, test failed, incorrect number of cards in hand.
Seed: 811677754, test failed, incorrect number of cards in hand.
Seed: 719530034, test failed, incorrect number of cards in hand.
Seed: 1471619114, test failed, incorrect number of cards in hand.
Seed: 418344817, test failed, incorrect number of cards in hand.
Seed: 505560520, test failed, incorrect number of cards in hand.
Seed: 1401617747, test failed, incorrect number of cards in hand.
Seed: 1645026733, test failed, incorrect number of cards in hand.
Seed: 1345275847, test failed, incorrect number of cards in hand.
Seed: 1076164954, test failed, incorrect number of cards in hand.
Seed: 1084050414, test failed, incorrect number of cards in hand.
Seed: 1140142248, test failed, incorrect number of cards in hand.
Seed: 268951484, test failed, incorrect number of cards in hand.
Seed: 663783703, test failed, incorrect number of cards in hand.
Seed: 1806514057, test failed, incorrect number of cards in hand.
Seed: 1525782251, test failed, incorrect number of cards in hand.
Seed: 1083836962, test failed, incorrect number of cards in hand.
Seed: 1042255183, test failed, incorrect number of cards in hand.
Seed: 1798526337, test failed, incorrect number of cards in hand.
Seed: 6615849, test failed, incorrect number of cards in hand.
Seed: 384964515, test failed, incorrect number of cards in hand.
Seed: 1144521018, test failed, incorrect number of cards in hand.
Seed: 910413886, test failed, incorrect number of cards in hand.
Seed: 1347136283, test failed, incorrect number of cards in hand.
Seed: 1182070589, test failed, incorrect number of cards in hand.
Seed: 790902648, test failed, incorrect number of cards in hand.
Seed: 700377382, test failed, incorrect number of cards in hand.
Seed: 1838426738, test failed, incorrect number of cards in hand.
Seed: 1918826232, test failed, incorrect number of cards in hand.
Seed: 89304620, test failed, incorrect number of cards in hand.
Seed: 1115540770, test failed, incorrect number of cards in hand.
Seed: 1934324406, test failed, incorrect number of cards in hand.
Seed: 1424633256, test failed, incorrect number of cards in hand.
Seed: 739947838, test failed, incorrect number of cards in hand.
Seed: 1367539179, test failed, incorrect number of cards in hand.
Seed: 1220456473, test failed, incorrect number of cards in hand.
Seed: 112157678, test failed, incorrect number of cards in hand.
Seed: 2113281947, test failed, incorrect number of cards in hand.
Seed: 430439981, test failed, incorrect number of cards in hand.
Seed: 799258065, test failed, incorrect number of cards in hand.
Seed: 1211211741, test failed, incorrect number of cards in hand.
Seed: 1686517538, test failed, incorrect number of cards in hand.
Seed: 1631768962, test failed, incorrect number of cards in hand.
Seed: 195070736, test failed, incorrect number of cards in hand.
Seed: 1543228496, test failed, incorrect number of cards in hand.
Seed: 2069078160, test failed, incorrect number of cards in hand.
Seed: 459183974, test failed, incorrect number of cards in hand.
Seed: 291162229, test failed, incorrect number of cards in hand.
Seed: 372171105, test failed, incorrect number of cards in hand.
Seed: 1264664084, test failed, incorrect number of cards in hand.
Seed: 71196383, test failed, incorrect number of cards in hand.
Seed: 693728228, test failed, incorrect number of cards in hand.
Seed: 2086026321, test failed, incorrect number of cards in hand.
Seed: 403714163, test failed, incorrect number of cards in hand.
Seed: 1609304068, test failed, incorrect number of cards in hand.
Seed: 2099119543, test failed, incorrect number of cards in hand.
Seed: 394960757, test failed, incorrect number of cards in hand.
Seed: 448313403, test failed, incorrect number of cards in hand.
Seed: 918922027, test failed, incorrect number of cards in hand.
Seed: 304775927, test failed, incorrect number of cards in hand.
Seed: 1977866400, test failed, incorrect number of cards in hand.
Seed: 45591567, test failed, incorrect number of cards in hand.
Seed: 3377034, test failed, incorrect number of cards in hand.
Seed: 696267553, test failed, incorrect number of cards in hand.
Seed: 1669609479, test failed, incorrect number of cards in hand.
Seed: 1136456648, test failed, incorrect number of cards in hand.
Seed: 2003032157, test failed, incorrect number of cards in hand.
Seed: 890719532, test failed, incorrect number of cards in hand.
Seed: 45152421, test failed, incorrect number of cards in hand.
Seed: 1180707491, test failed, incorrect number of cards in hand.
Seed: 443918393, test failed, incorrect number of cards in hand.
Seed: 1491483833, test failed, incorrect number of cards in hand.
Seed: 197716114, test failed, incorrect number of cards in hand.
Seed: 1753647884, test failed, incorrect number of cards in hand.
Seed: 1615065193, test failed, incorrect number of cards in hand.
Seed: 512320019, test failed, incorrect number of cards in hand.
Seed: 1472115361, test failed, incorrect number of cards in hand.
Seed: 196166993, test failed, incorrect number of cards in hand.
Seed: 344172185, test failed, incorrect number of cards in hand.
Seed: 1276124504, test failed, incorrect number of cards in hand.
Seed: 1152861180, test failed, incorrect number of cards in hand.
Seed: 1864998614, test failed, incorrect number of cards in hand.
Seed: 1381772807, test failed, incorrect number of cards in hand.
Seed: 1520979561, test failed, incorrect number of cards in hand.
Seed: 1333083462, test failed, incorrect number of cards in hand.
Seed: 18172297, test failed, incorrect number of cards in hand.
Seed: 668847235, test failed, incorrect number of cards in hand.
Seed: 582199728, test failed, incorrect number of cards in hand.
Seed: 1394732949, test failed, incorrect number of cards in hand.
Seed: 860435140, test failed, incorrect number of cards in hand.
Seed: 687492172, test failed, incorrect number of cards in hand.
Seed: 496016998, test failed, incorrect number of cards in hand.
Seed: 754145169, test failed, incorrect number of cards in hand.
Seed: 620527273, test failed, incorrect number of cards in hand.
Seed: 894193581, test failed, incorrect number of cards in hand.
Seed: 1937635565, test failed, incorrect number of cards in hand.
Seed: 1243867918, test failed, incorrect number of cards in hand.
Seed: 1651270411, test failed, incorrect number of cards in hand.
Seed: 1282688161, test failed, incorrect number of cards in hand.
Seed: 1544542652, test failed, incorrect number of cards in hand.
